ma_number	concept_id	concept_name	concept_code	mapping_type	ema_active_substance	pdf_strength	pdf_pharmaceutical_form	pdf_route_of_administration	pdf_packaging	pdf_content	pdf_pack_size	pdf_product_name	ema_name_of_medicine	ema_product_number	ema_atc_code	comment	suggestion	last_updated_date
EU/1/95/002/002	21058122	2 ML docetaxel 40 MG/ML Injection [Taxotere]	OMOP303600	EXACT	docetaxel	80 mg/2 ml	Concentrate and solvent for solution for infusion	Intravenous use	concentrate: vial (glass); solvent: vial (glass)	concentrate: 2 ml; solvent: 6 ml	1 vial + 1 vial	taxotere	Taxotere	EMEA/H/C/000073	L01CD02			2025-12-04
EU/1/95/002/003	1718760	1 ML docetaxel 20 MG/ML Injection [Taxotere]	1860482	EXACT	docetaxel	20 mg/1 ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	1 ml	1 vial	taxotere	Taxotere	EMEA/H/C/000073	L01CD02			2025-12-04
EU/1/95/002/004	1718764	4 ML docetaxel 20 MG/ML Injection [Taxotere]	1860486	EXACT	docetaxel	80 mg/4 ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	4 ml	1 vial	taxotere	Taxotere	EMEA/H/C/000073	L01CD02			2025-12-04
EU/1/95/002/005	21107581	8 ML docetaxel 20 MG/ML Injection [Taxotere]	OMOP309394	EXACT	docetaxel	160 mg/8 ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	8 ml	1 vial	taxotere	Taxotere	EMEA/H/C/000073	L01CD02			2025-12-04
EU/1/96/006/008	19130384	eptacog alfa activated 0.001 MG Injection [Novoseven]	798104	EXACT	eptacog alfa (activated)	1 mg (50 KIU)	Powder and solvent for solution for injection	Intravenous use	powder: vial (glass); solvent: syringe (glass)	powder: 1 mg (50 KIU); (50 KIU/ml); solv.: 1 ml	1 vial + 1 syringe + 1 vial adapter	NovoSeven	NovoSeven	EMEA/H/C/000074	B02BD08	Normalized unit representation, eptacog alfa is dosed per kg of body weight		2025-12-04
EU/1/96/006/009	19130384	eptacog alfa activated 0.001 MG Injection [Novoseven]	798104	EXACT	eptacog alfa (activated)	2 mg (100 KIU)	Powder and solvent for solution for injection	Intravenous use	powder: vial (glass); solvent: syringe (glass)	powder: 2 mg (100 KIU); (50 KIU/ml); solv.: 2 ml	1 vial + 1 syringe + 1 vial adapter	NovoSeven	NovoSeven	EMEA/H/C/000074	B02BD08	Normalized unit representation, eptacog alfa is dosed per kg of body weight		2025-12-04
EU/1/96/006/010	19130384	eptacog alfa activated 0.001 MG Injection [Novoseven]	798104	EXACT	eptacog alfa (activated)	5 mg (250 KIU)	Powder and solvent for solution for injection	Intravenous use	powder: vial (glass); solvent: syringe (glass)	powder: 5 mg (250 KIU); (50 KIU/ml) solv.: 5 ml	1 vial + 1 syringe + 1 vial adapter	NovoSeven	NovoSeven	EMEA/H/C/000074	B02BD08	Normalized unit representation, eptacog alfa is dosed per kg of body weight		2025-12-04
EU/1/96/006/011	19130384	eptacog alfa activated 0.001 MG Injection [Novoseven]	798104	EXACT	eptacog alfa (activated)	8 mg (400 KIU)	Powder and solvent for solution for injection	Intravenous use	powder: vial (glass); solvent: syringe (glass)	powder: 8 mg (400 KIU); (50 KIU/ml) solv.: 8 ml	1 vial + 1 syringe + 1 vial adapter	NovoSeven	NovoSeven	EMEA/H/C/000074	B02BD08	Normalized unit representation, eptacog alfa is dosed per kg of body weight		2025-12-04
EU/1/95/003/003	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection				Carton box, Glass vial and pre-filled syringe, N15		Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/004	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection				Carton box, Glass vial and pre-filled syringe, N5		Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/005	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	15 x (1 vial + 1 pre- filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/006	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	5 x (1 vial + 1 pre- filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/007	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	3 x 15 x (1 vial + 1 pre-filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/008	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	12 x (1 vial + 1 pre- filled syringe + 1 vial adapter with needle + 2 alcohol wipes) (Titration pack)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/009	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	14 x (1 vial + 1 pre- filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/010	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	3 x 14 x (1 vial + 1 pre-filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/011	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	12 x (1 vial + 1 pre- filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/95/003/012	19019936	interferon beta-1b 0.3 MG Injection	198360	EXACT	interferon beta-1b	0.25 mg/ml	Powder and solvent for solution for injection	Subcutaneous use	powder: vial (glass); solvent: pre-filled syringe (glass)	powder:0.3 mg solvent: 1.2 ml	2x 14 x (1 vial + 1 pre-filled syringe + 1 vial adapter with needle + 2 alcohol wipes)	betaferon	Betaferon	EMEA/H/C/000081	L03AB08			2025-12-04
EU/1/96/005/001	19004061	mycophenolate mofetil 250 MG Oral Capsule [Cellcept]	616447	EXACT	mycophenolate mofetil	250 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/002	19004039	mycophenolate mofetil 500 MG Oral Tablet [Cellcept]	616435	EXACT	mycophenolate mofetil	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		50 tablets	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/003	19004061	mycophenolate mofetil 250 MG Oral Capsule [Cellcept]	616447	EXACT	mycophenolate mofetil	250 mg	Capsule, hard	Oral use	blister (PVC/alu)		300 capsules	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/004	19004039	mycophenolate mofetil 500 MG Oral Tablet [Cellcept]	616435	EXACT	mycophenolate mofetil	500 mg	Film-coated tablet	Oral use	blister (PVC/alu)		150 (3 x 50) tablets (multipack)	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/005	19004032	mycophenolate mofetil 500 MG Injection [Cellcept]	213394	EXACT	mycophenolate mofetil	500 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		4 vials	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/006	19004040	mycophenolate mofetil 200 MG/ML Oral Suspension [Cellcept]	616444	EXACT	mycophenolate mofetil	1 g/5 ml	Powder for oral suspension	Oral use	bottle (HDPE)	110g	1 bottle	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/005/007	19004061	mycophenolate mofetil 250 MG Oral Capsule [Cellcept]	616447	EXACT	mycophenolate mofetil	250 mg	Capsule, hard	Oral use	blister (PVC/alu)		300 (3x100) capsules (multipack)	cellcept	CellCept	EMEA/H/C/000082	L04AA06			2025-12-04
EU/1/96/008/038	40162443	0.36 ML follitropin beta 833 UNT/ML Cartridge	854787	EXACT	follitropin beta	300 IU/0.36 mL	Solution for injection	Subcutaneous use	cartridge (glass)	0.480 mL (833 IU/mL)	1 cartridge + 2 packs with 3 pen needles	Puregon	Puregon	EMEA/H/C/000086	G03GA06			2025-12-04
EU/1/96/008/039	40162461	0.72 ML follitropin beta 833 UNT/ML Cartridge	854788	EXACT	follitropin beta	600 IU/0.72 mL	Solution for injection	Subcutaneous use	cartridge (glass)	0.840 mL (833 IU/mL)	1 cartridge + 2 packs with 3 pen needles	Puregon	Puregon	EMEA/H/C/000086	G03GA06			2025-12-04
EU/1/96/008/041	40162395	1.08 ML follitropin beta 833 UNT/ML Cartridge	854790	EXACT	follitropin beta	900 IU/1.08 mL	Solution for injection	Subcutaneous use	cartridge (glass)	1.230 mL (833 IU/mL)	1 cartridge + 3 packs with 3 pen needles	Puregon	Puregon	EMEA/H/C/000086	G03GA06			2025-12-04
EU/1/96/007/002	40166274	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	865098	EXACT	insulin lispro	100 U/ml	Solution for injection	Intravenous use, Subcutaneous use	vial (glass)	10 ml (3.5 mg/ml)	1 vial	Humalog	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/004	46233976	3 ML insulin lispro 100 UNT/ML Cartridge [Humalog]	1652646	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	5 cartridges	Humalog	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/005	1513912	insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Injectable Suspension [Humalog Mix]	752388	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml (3.5 mg/ml)	1 vial	Humalog Mix25	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/006	1513881	insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Injectable Suspension [Humalog Mix]	731281	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	5 cartridges	Humalog Mix50	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/008	1513912	insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Injectable Suspension [Humalog Mix]	752388	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	5 cartridges	Humalog Mix25	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/020	40166274	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	865098	EXACT	insulin lispro	100 U/ml	Solution for injection	Intravenous use, Subcutaneous use	vial (glass)	10 ml (3.5 mg/ml)	2 vials	Humalog	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/021	40166274	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	865098	EXACT	insulin lispro	100 U/ml	Solution for injection	Intravenous use, Subcutaneous use	vial (glass)	10 ml (3.5 mg/ml)	5 (5 x 1) vial (multipack)	Humalog	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/023	46233976	3 ML insulin lispro 100 UNT/ML Cartridge [Humalog]	1652646	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	10 cartridges	Humalog	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/024	1513912	insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Injectable Suspension [Humalog Mix]	752388	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	10 cartridges	Humalog Mix25	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/025	1513881	insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Injectable Suspension [Humalog Mix]	731281	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass)	3 ml (3.5 mg/ml)	10 cartridges	Humalog Mix50	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/031	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	5 pre-filled pens	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/032	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/033	1513916	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector [Humalog Mix]	847254	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	5 pre-filled pens	Humalog Mix25 KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/034	1513916	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector [Humalog Mix]	847254	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog Mix25 KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/035	1513914	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector [Humalog Mix]	847213	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	5 pre-filled pens	Humalog Mix50 KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/036	1513914	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector [Humalog Mix]	847213	EXACT	insulin lispro	100 U/ml	Suspension for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog Mix50 KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/039	46233948	3 ML insulin lispro 200 UNT/ML Pen Injector [Humalog]	1652242	EXACT	insulin lispro	200 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (6.9 mg/ml)	1 pre-filled pen	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/040	46233948	3 ML insulin lispro 200 UNT/ML Pen Injector [Humalog]	1652242	EXACT	insulin lispro	200 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (6.9 mg/ml)	2 pre-filled pens	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/041	46233948	3 ML insulin lispro 200 UNT/ML Pen Injector [Humalog]	1652242	EXACT	insulin lispro	200 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (6.9 mg/ml)	5 pre-filled pens	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/042	46233948	3 ML insulin lispro 200 UNT/ML Pen Injector [Humalog]	1652242	EXACT	insulin lispro	200 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (6.9 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/043	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	1 pre-filled pen	Humalog Junior KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/044	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	5 pre-filled pens	Humalog Junior KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/045	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog Junior KwikPen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/046	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	5 pre-filled pens	Humalog Tempo Pen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/007/047	46233970	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	1652640	EXACT	insulin lispro	100 U/ml	Solution for injection	Subcutaneous use	cartridge (glass) in pre-filled pen	3 ml (3.5 mg/ml)	10 (2 x 5) pre-filled pens (multipack)	Humalog Tempo Pen	Humalog	EMEA/H/C/000088	A10AB04;A10AD04			2025-12-04
EU/1/96/011/001	42629347	10 ML doxorubicin hydrochloride 2 MG/ML Injection	1790099	EXACT	doxorubicin hydrochloride	2 mg/ml		Intravenous use	vial (glass)	10 ml	1 vial	caelyx-pegylated-liposomal	Caelyx pegylated liposomal	EMEA/H/C/000089	L01DB			2025-12-04
EU/1/96/011/002	42629347	10 ML doxorubicin hydrochloride 2 MG/ML Injection	1790099	EXACT	doxorubicin hydrochloride	2 mg/ml		Intravenous use	vial (glass)	10 ml	10 vials	caelyx-pegylated-liposomal	Caelyx pegylated liposomal	EMEA/H/C/000089	L01DB			2025-12-04
EU/1/96/011/003	42629348	25 ML doxorubicin hydrochloride 2 MG/ML Injection	1790100	EXACT	doxorubicin hydrochloride	2 mg/ml		Intravenous use	vial (glass)	25 ml	1 vial	caelyx-pegylated-liposomal	Caelyx pegylated liposomal	EMEA/H/C/000089	L01DB			2025-12-04
EU/1/96/011/004	42629348	25 ML doxorubicin hydrochloride 2 MG/ML Injection	1790100	EXACT	doxorubicin hydrochloride	2 mg/ml		Intravenous use	vial (glass)	25 ml	10 vials	caelyx-pegylated-liposomal	Caelyx pegylated liposomal	EMEA/H/C/000089	L01DB			2025-12-04
EU/1/96/004/001	19016545	toremifene 60 MG Oral Tablet [Fareston]	152880	EXACT	toremifene	60 mg	Tablet				Carton box, PVC/Al blister, N30		Fareston	EMEA/H/C/000091	L02BA02			2025-12-04
EU/1/96/004/002	19016545	toremifene 60 MG Oral Tablet [Fareston]	152880	EXACT	toremifene	60 mg	Tablet				Carton box, PVC/Al blister, N100		Fareston	EMEA/H/C/000091	L02BA02			2025-12-04
EU/1/96/014/001				NO_MAPPING	Diphtheria toxoid;hepatitis B surface antigen;Bordetella pertussis (inactivated);tetanus toxoid	--	Suspension for injection	Intramuscular use	vial (glass)	0.5 ml	1 vial	Tritanrix HepB	Tritanrix HepB	EMEA/H/C/000093	J07CA05	No suitable RxNorm concept found; closest Extension combination uses acellular pertussis and prefilled syringe presentation.	0.5 ML whole cell pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / hepatitis B surface antigen vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension [Tritanrix HepB]	2026-03-30
EU/1/96/014/002				NO_MAPPING	Diphtheria toxoid;hepatitis B surface antigen;Bordetella pertussis (inactivated);tetanus toxoid	--	Suspension for injection	Intramuscular use	vial (glass)	5.0 ml	1 vial	Tritanrix HepB	Tritanrix HepB	EMEA/H/C/000093	J07CA05	No suitable RxNorm concept found; closest Extension combination uses acellular pertussis and prefilled syringe presentation.	5 ML whole cell pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / hepatitis B surface antigen vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension [Tritanrix HepB]	2026-03-30
EU/1/96/014/003				NO_MAPPING	Diphtheria toxoid;hepatitis B surface antigen;Bordetella pertussis (inactivated);tetanus toxoid	--	Suspension for injection	Intramuscular use	vial (glass)	1 ml	1 vial	Tritanrix HepB	Tritanrix HepB	EMEA/H/C/000093	J07CA05	No suitable RxNorm concept found; closest Extension combination uses acellular pertussis and prefilled syringe presentation.	1 ML whole cell pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / hepatitis B surface antigen vaccine / tetanus toxoid vaccine, inactivated Injectable Suspension [Tritanrix HepB]	2026-03-30
EU/1/96/012/004	21176028	2 ML Ibandronate 1 MG/ML Injection	OMOP304316	EXACT	ibandronic acid	2 mg/2 ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	2 ml	1 vial	bondronat	Bondronat	EMEA/H/C/000101	M05BA06	RxExt has naming inconsistancy with RxNorm, suggestion has appropriate name	2 ML ibandronic acid 1 MG/ML Injection	2026-03-11
EU/1/96/012/009	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT	ibandronic acid	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		28 tablets	bondronat	Bondronat	EMEA/H/C/000101	M05BA06			2025-12-04
EU/1/96/012/010	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT	ibandronic acid	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		84 tablets	bondronat	Bondronat	EMEA/H/C/000101	M05BA06			2025-12-04
EU/1/96/012/011	43291575	6 ML Ibandronate 1 MG/ML Injection	OMOP562985	EXACT	ibandronic acid	6 mg/6 ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	6 ml	1 vial	bondronat	Bondronat	EMEA/H/C/000101	M05BA06	RxExt has naming inconsistancy with RxNorm, suggestion has appropriate name	6 ML ibandronic acid 1 MG/ML Injection	2026-03-11
